YYYYMM,balance_amt
201601,35117600000000
201602,33980200000000
201603,34839900000000
201604,34477500000000
201605,33393400000000
201606,32941500000000
201607,34403900000000
201608,34624600000000
201609,35760900000000
201610,36258300000000
201611,36207500000000
201612,36403600000000
201701,38114100000000
201702,39300800000000
201703,40076000000000
201704,42509100000000
201705,42788100000000
201706,40917400000000
201707,43332700000000
201708,45354400000000
201709,44574500000000
201710,44807800000000
201711,46304100000000
201712,45154600000000
201801,49056700000000
201802,50181000000000
201803,49595700000000
201804,50986600000000
201805,51669100000000
201806,50406200000000
201807,53559000000000
201808,53479000000000
201809,51688900000000
201810,51794200000000
201811,52085900000000
201812,51433300000000
201901,54801200000000
201902,56152300000000
201903,54066600000000
201904,56324000000000
201905,56773600000000
201906,54142800000000
201907,53254100000000
201908,51922100000000
201909,50787600000000
201910,50508200000000
201911,52071300000000
201912,51567000000000
202001,57180200000000
202002,58400700000000
202003,63486700000000
202004,65211500000000
202005,65711700000000
202006,63580600000000
202007,64120900000000
202008,63432300000000
202009,62132700000000
202010,62443100000000
202011,60088800000000
202012,61047300000000
202101,63760500000000
202102,64050000000000
202103,64219500000000
202104,65142600000000
202105,66493700000000
202106,68659300000000
202107,70915700000000
202108,71247200000000
202109,73378400000000
202110,76169600000000
202111,80069300000000
202112,82003100000000
202201,84085000000000
202202,87713200000000
202203,91622500000000
202204,97446800000000
202205,100073500000000
202206,104386200000000
202207,110987000000000
202208,115256000000000
202209,113081300000000
202210,112146600000000
202211,114810800000000
202212,114018700000000
202301,120359200000000
202302,117792500000000
202303,120062200000000
202304,121433800000000
202305,117646200000000
202306,117425900000000
202307,118449400000000
202308,118549800000000
202309,117218400000000
202310,117618000000000
202311,122159500000000
202312,114903700000000
202401,116622300000000
202402,116470400000000
202403,116579500000000
202404,116120900000000
202405,116088200000000
202406,112274500000000
202407,112827200000000
202408,112934400000000
202409,115391800000000
202410,116780400000000
202411,117764500000000
202412,113267700000000
202501,118046200000000
202502,116340200000000
202503,111648000000000
202504,114911600000000
202505,114535100000000
202506,109077100000000
202507,110525600000000
202508,111948800000000
202509,114723500000000
202510,114070000000000
202511,116336400000000
202512,114155800000000
